都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0-4歳の男性,0-4歳の女性,5-9歳の男性,5-9歳の女性,10-14歳の男性,10-14歳の女性,15-19歳の男性,15-19歳の女性,20-24歳の男性,20-24歳の女性,25-29歳の男性,25-29歳の女性,30-34歳の男性,30-34歳の女性,35-39歳の男性,35-39歳の女性,40-44歳の男性,40-44歳の女性,45-49歳の男性,45-49歳の女性,50-54歳の男性,50-54歳の女性,55-59歳の男性,55-59歳の女性,60-64歳の男性,60-64歳の女性,65-69歳の男性,65-69歳の女性,70-74歳の男性,70-74歳の女性,75-79歳の男性,75-79歳の女性,80-84歳の男性,80-84歳の女性,85歳の男性以上,85歳の女性以上,不詳者の男性,不詳者の女性,世帯数,備考
131105,252,東京都,目黒区,2017-04-01,原町二丁目,2391,1186,1205,46,31,52,31,45,42,51,48,63,65,70,60,83,90,80,83,95,97,121,112,87,74,71,74,56,57,82,75,69,68,50,58,37,70,28,70,0,0,1278,
131105,261,東京都,目黒区,2017-04-01,洗足一丁目,2936,1408,1528,76,68,59,61,35,34,37,35,53,73,111,103,123,114,141,155,116,121,104,108,89,96,81,77,73,71,105,109,83,95,64,73,30,50,28,85,0,0,1587,
131105,262,東京都,目黒区,2017-04-01,洗足二丁目,2883,1305,1578,62,39,37,38,26,37,43,53,69,67,93,88,109,118,109,119,108,146,107,134,103,118,73,101,68,74,87,103,69,88,55,93,42,62,45,100,0,0,1603,
131105,271,東京都,目黒区,2017-04-01,南一丁目,2838,1383,1455,51,42,43,43,42,38,59,48,82,84,112,102,130,111,117,111,126,107,115,120,91,106,85,84,64,64,70,82,67,88,59,92,36,58,34,75,0,0,1523,
131105,272,東京都,目黒区,2017-04-01,南二丁目,2393,1162,1231,63,43,56,54,42,49,48,55,77,71,80,83,84,97,92,90,111,111,100,103,86,93,82,65,60,73,60,55,35,37,25,43,31,56,30,53,0,0,1166,
131105,273,東京都,目黒区,2017-04-01,南三丁目,2014,948,1066,34,25,41,29,28,31,47,36,64,59,82,103,76,105,62,72,77,90,85,88,74,79,71,72,49,45,41,54,36,53,30,33,24,42,27,50,0,0,1097,
131105,281,東京都,目黒区,2017-04-01,碑文谷一丁目,3942,1908,2034,120,109,92,92,73,83,71,88,88,86,76,108,138,151,158,168,180,181,157,160,151,140,122,110,98,99,118,107,89,86,73,93,58,90,46,83,0,0,1834,
131105,282,東京都,目黒区,2017-04-01,碑文谷二丁目,3222,1460,1762,89,93,82,70,62,57,71,44,77,147,59,90,99,126,141,157,126,157,144,155,143,138,85,97,62,77,67,78,43,84,51,73,33,52,26,67,0,0,1596,
131105,283,東京都,目黒区,2017-04-01,碑文谷三丁目,2147,996,1151,58,34,42,46,54,56,63,52,49,64,59,73,71,75,85,101,82,104,76,95,81,99,81,69,44,42,33,55,35,60,32,40,31,36,20,50,0,0,1010,
131105,284,東京都,目黒区,2017-04-01,碑文谷四丁目,2426,1103,1323,54,60,47,51,46,47,49,39,51,52,70,80,85,80,99,131,98,118,106,104,77,102,80,77,51,69,68,86,52,70,36,46,19,52,15,59,0,0,1237,
131105,285,東京都,目黒区,2017-04-01,碑文谷五丁目,3442,1584,1858,66,60,58,37,50,56,67,70,85,123,117,153,157,197,150,167,156,164,140,179,123,132,87,99,69,65,94,99,63,73,47,67,29,47,26,70,0,0,2026,
131105,286,東京都,目黒区,2017-04-01,碑文谷六丁目,1793,824,969,27,28,24,22,22,25,39,30,42,53,54,72,80,81,65,84,64,78,69,68,62,67,65,57,40,43,47,49,36,56,36,54,27,49,25,53,0,0,1006,
131105,291,東京都,目黒区,2017-04-01,鷹番一丁目,2496,1115,1381,60,47,41,36,37,38,30,38,44,65,87,118,121,162,121,151,115,143,105,124,83,85,62,69,47,50,46,62,34,47,30,44,20,44,32,58,0,0,1463,
131105,292,東京都,目黒区,2017-04-01,鷹番二丁目,3095,1398,1697,35,43,28,35,33,37,40,37,61,97,122,148,164,172,133,159,117,151,127,127,108,123,77,77,67,66,79,101,72,79,58,85,50,73,27,87,0,0,1956,
131105,293,東京都,目黒区,2017-04-01,鷹番三丁目,3153,1447,1706,37,43,19,35,28,20,33,27,70,91,137,164,177,212,152,189,135,153,118,129,116,102,80,82,64,84,95,89,58,77,55,75,37,62,36,72,0,0,2090,
131105,301,東京都,目黒区,2017-04-01,平町一丁目,3481,1549,1932,72,63,49,42,62,42,45,47,81,81,120,171,145,193,129,172,137,161,105,155,113,127,111,117,58,109,103,110,82,98,48,85,45,83,44,76,0,0,1956,
131105,302,東京都,目黒区,2017-04-01,平町二丁目,3080,1439,1641,67,54,63,57,53,65,67,77,81,94,108,116,121,134,109,137,144,139,109,161,124,109,77,98,65,77,79,83,54,62,46,49,31,58,41,71,0,0,1570,
131105,311,東京都,目黒区,2017-04-01,大岡山一丁目,5572,2645,2927,110,114,120,104,109,105,133,131,178,159,180,186,173,202,243,239,199,259,247,249,184,217,178,172,132,127,149,177,103,149,94,113,64,100,49,124,0,0,2812,
131105,312,東京都,目黒区,2017-04-01,大岡山二丁目,1367,643,724,21,23,18,19,31,20,34,19,52,31,53,55,45,65,40,44,45,56,59,63,41,47,48,43,28,33,26,40,37,39,26,43,23,37,16,47,0,0,769,
131105,321,東京都,目黒区,2017-04-01,緑が丘一丁目,3178,1485,1693,45,49,69,64,60,65,52,59,86,101,112,95,115,112,111,141,138,155,116,139,96,114,102,87,81,87,97,112,70,79,56,77,39,66,40,91,0,0,1691,
131105,322,東京都,目黒区,2017-04-01,緑が丘二丁目,3347,1545,1802,54,72,48,45,57,49,52,59,76,91,131,141,134,158,139,165,144,139,128,148,98,115,98,108,90,85,79,101,62,85,48,75,57,72,50,94,0,0,1818,
131105,323,東京都,目黒区,2017-04-01,緑が丘三丁目,851,397,454,7,6,11,9,15,11,17,14,21,25,21,34,31,34,30,32,34,37,39,38,28,41,33,25,22,20,28,34,27,23,14,16,11,13,8,42,0,0,506,
131105,331,東京都,目黒区,2017-04-01,自由が丘一丁目,2634,1171,1463,27,31,37,38,38,32,44,43,45,83,97,100,85,124,119,123,94,131,96,133,99,116,77,75,53,62,67,83,50,75,59,63,45,74,39,77,0,0,1551,
131105,332,東京都,目黒区,2017-04-01,自由が丘二丁目,2675,1188,1487,59,43,31,40,37,33,48,45,56,61,57,93,86,97,90,116,109,144,102,141,92,127,97,100,60,72,68,89,71,83,40,68,49,62,36,73,0,0,1475,
131105,333,東京都,目黒区,2017-04-01,自由が丘三丁目,2222,1004,1218,40,28,35,28,33,41,35,43,55,54,58,69,73,101,103,97,77,107,73,107,77,100,71,61,62,65,57,66,42,73,36,64,49,52,28,62,0,0,1192,
131105,341,東京都,目黒区,2017-04-01,中根一丁目,3108,1403,1705,63,50,41,44,51,44,53,51,68,79,100,121,127,167,127,183,136,166,122,147,117,146,93,91,79,79,70,91,46,70,52,45,32,61,26,70,0,0,1780,
131105,342,東京都,目黒区,2017-04-01,中根二丁目,3631,1550,2081,73,59,32,53,38,48,46,31,82,114,115,174,176,197,177,200,150,215,116,183,104,145,79,105,76,92,88,115,69,100,71,89,35,84,23,77,0,0,2222,
131105,351,東京都,目黒区,2017-04-01,柿の木坂一丁目,4054,1772,2282,84,77,79,71,64,80,57,63,93,101,125,157,130,210,154,215,149,223,152,176,136,156,97,143,102,118,112,115,89,113,74,92,38,77,37,95,0,0,2177,
131105,352,東京都,目黒区,2017-04-01,柿の木坂二丁目,3714,1753,1961,71,60,98,75,83,88,93,78,84,90,93,107,136,125,125,141,143,189,168,192,154,164,114,108,85,99,103,111,71,81,52,83,42,66,38,104,0,0,1793,
131105,353,東京都,目黒区,2017-04-01,柿の木坂三丁目,1509,749,760,43,38,38,29,28,27,34,21,35,35,55,53,60,66,66,84,77,73,57,69,58,47,40,34,30,28,37,38,39,36,22,23,16,21,14,38,0,0,756,
131105,361,東京都,目黒区,2017-04-01,八雲一丁目,2718,1148,1570,42,48,48,43,46,39,37,56,51,90,71,116,106,122,89,142,114,144,87,112,89,118,60,93,63,73,78,92,49,89,54,68,38,63,26,62,0,0,1578,
131105,362,東京都,目黒区,2017-04-01,八雲二丁目,3437,1605,1832,74,75,79,76,55,52,64,77,79,67,112,128,129,147,118,127,119,174,132,165,134,123,97,120,92,69,98,128,90,86,46,70,43,63,44,85,0,0,1721,
131105,363,東京都,目黒区,2017-04-01,八雲三丁目,3944,1828,2116,89,86,123,79,79,108,63,91,97,105,110,120,124,168,155,187,163,204,155,195,149,153,127,130,91,79,105,104,71,88,61,64,37,71,29,84,0,0,1930,
131105,364,東京都,目黒区,2017-04-01,八雲四丁目,2104,969,1135,56,47,52,47,38,35,34,40,57,54,50,74,56,76,80,104,99,109,73,92,81,83,48,66,43,57,68,67,54,47,24,37,35,42,21,58,0,0,965,
131105,365,東京都,目黒区,2017-04-01,八雲五丁目,2818,1354,1464,82,53,83,75,65,64,65,61,85,55,90,87,92,103,112,133,117,146,115,128,103,110,84,99,63,73,76,59,37,64,32,47,34,46,19,61,0,0,1316,
131105,371,東京都,目黒区,2017-04-01,東が丘一丁目,4439,2049,2390,104,90,100,83,108,93,94,124,108,120,131,155,165,186,169,186,190,193,164,195,144,193,130,137,104,109,115,136,81,87,53,81,44,79,45,143,0,0,2193,
131105,372,東京都,目黒区,2017-04-01,東が丘二丁目,2974,1292,1682,66,63,63,41,47,51,57,37,65,191,138,235,134,174,113,131,93,126,99,126,101,104,77,83,54,56,46,79,44,48,43,39,22,41,30,57,0,0,1667,
