date,draft,linktitle
2023-03-11T13:00:00+09:00,false,導入、直線回帰
2023-03-11T14:40:00+09:00,false,確率分布、擬似乱数生成
2023-03-18T13:00:00+09:00,false,尤度、最尤推定
2023-03-18T14:40:00+09:00,false,一般化線形モデル (GLM)
2023-03-25T13:00:00+09:00,false,個体差、一般化線形混合モデル (GLMM)
2023-03-25T14:40:00+09:00,false,ベイズの定理、事後分布、MCMC
2023-04-01T13:00:00+09:00,false,StanでGLM
2023-04-01T14:40:00+09:00,false,階層ベイズモデル (HBM)
