date,draft,linktitle
2023-11-27T16:00:00+09:00,false,"Introduction: what is data analysis and R basics"
2023-11-28T16:00:00+09:00,false,"Data visualization and reporting"
2023-11-29T16:00:00+09:00,false,"Data transformation 1: extract, summarize"
2023-11-30T16:00:00+09:00,false,"Data transformation 2: join, pivot"
2023-12-01T16:00:00+09:00,false,"Data cleansing and conversion: numbers, text"
2023-12-04T16:00:00+09:00,false,"Data input and interpretation"
2023-12-05T16:00:00+09:00,false,"Statistical modeling 1: probability distribution, likelihood"
2023-12-06T16:00:00+09:00,false,"Statistical modeling 2: linear regression"
